Day,List 1,List 2,List 3,List 4,List 5,List 6,List 7,List 8,List 9,List 10
32941,Matt 11,Gen 29,1 Cor 9,Rev 8,Job 19,Ps 91,Prov 19,1 Sam 24,Hosea 8,Acts 13
32942,Matt 12,Gen 30,1 Cor 10,Rev 9,Job 20,Ps 92,Prov 20,1 Sam 25,Hosea 9,Acts 14
32943,Matt 13,Gen 31,1 Cor 11,Rev 10,Job 21,Ps 93,Prov 21,1 Sam 26,Hosea 10,Acts 15
32944,Matt 14,Gen 32,1 Cor 12,Rev 11,Job 22,Ps 94,Prov 22,1 Sam 27,Hosea 11,Acts 16
32945,Matt 15,Gen 33,1 Cor 13,Rev 12,Job 23,Ps 95,Prov 23,1 Sam 28,Hosea 12,Acts 17
32946,Matt 16,Gen 34,1 Cor 14,Rev 13,Job 24,Ps 96,Prov 24,1 Sam 29,Hosea 13,Acts 18
32947,Matt 17,Gen 35,1 Cor 15,Rev 14,Job 25,Ps 97,Prov 25,1 Sam 30,Hosea 14,Acts 19
32948,Matt 18,Gen 36,1 Cor 16,Rev 15,Job 26,Ps 98,Prov 26,1 Sam 31,Joel 1,Acts 20
32949,Matt 19,Gen 37,2 Cor 1,Rev 16,Job 27,Ps 99,Prov 27,2 Sam 1,Joel 2,Acts 21
32950,Matt 20,Gen 38,2 Cor 2,Rev 17,Job 28,Ps 100,Prov 28,2 Sam 2,Joel 3,Acts 22
32951,Matt 21,Gen 39,2 Cor 3,Rev 18,Job 29,Ps 101,Prov 29,2 Sam 3,Amos 1,Acts 23
32952,Matt 22,Gen 40,2 Cor 4,Rev 19,Job 30,Ps 102,Prov 30,2 Sam 4,Amos 2,Acts 24
32953,Matt 23,Gen 41,2 Cor 5,Rev 20,Job 31,Ps 103,Prov 31,2 Sam 5,Amos 3,Acts 25
32954,Matt 24,Gen 42,2 Cor 6,Rev 21,Job 32,Ps 104,Prov 1,2 Sam 6,Amos 4,Acts 26
32955,Matt 25,Gen 43,2 Cor 7,Rev 22,Job 33,Ps 105,Prov 2,2 Sam 7,Amos 5,Acts 27
32956,Matt 26,Gen 44,2 Cor 8,1 Thes 1,Job 34,Ps 106,Prov 3,2 Sam 8,Amos 6,Acts 28
32957,Matt 27,Gen 45,2 Cor 9,1 Thes 2,Job 35,Ps 107,Prov 4,2 Sam 9,Amos 7,Acts 1
32958,Matt 28,Gen 46,2 Cor 10,1 Thes 3,Job 36,Ps 108,Prov 5,2 Sam 10,Amos 8,Acts 2
32959,Mark 1,Gen 47,2 Cor 11,1 Thes 4,Job 37,Ps 109,Prov 6,2 Sam 11,Amos 9,Acts 3
32960,Mark 2,Gen 48,2 Cor 12,1 Thes 5,Job 38,Ps 110,Prov 7,2 Sam 12,Obadiah 1,Acts 4
32961,Mark 3,Gen 49,2 Cor 13,2 Thes 1,Job 39,Ps 111,Prov 8,2 Sam 13,Jonah 1,Acts 5
32962,Mark 4,Gen 50,Gal 1,2 Thes 2,Job 40,Ps 112,Prov 9,2 Sam 14,Jonah 2,Acts 6
32963,Mark 5,Ex 1,Gal 2,2 Thes 3,Job 41,Ps 113,Prov 10,2 Sam 15,Jonah 3,Acts 7
32964,Mark 6,Ex 2,Gal 3,1 Tim 1,Job 42,Ps 114,Prov 11,2 Sam 16,Jonah 4,Acts 8
32965,Mark 7,Ex 3,Gal 4,1 Tim 2,Eccl 1,Ps 115,Prov 12,2 Sam 17,Micah 1,Acts 9
32966,Mark 8,Ex 4,Gal 5,1 Tim 3,Eccl 2,Ps 116,Prov 13,2 Sam 18,Micah 2,Acts 10
32967,Mark 9,Ex 5,Gal 6,1 Tim 4,Eccl 3,Ps 117,Prov 14,2 Sam 19,Micah 3,Acts 11
32968,Mark 10,Ex 6,Eph 1,1 Tim 5,Eccl 4,Ps 118,Prov 15,2 Sam 20,Micah 4,Acts 12
32969,Mark 11,Ex 7,Eph 2,1 Tim 6,Eccl 5,Ps 119,Prov 16,2 Sam 21,Micah 5,Acts 13
32970,Mark 12,Ex 8,Eph 3,2 Tim 1,Eccl 6,Ps 120,Prov 17,2 Sam 22,Micah 6,Acts 14
32971,Mark 13,Ex 9,Eph 4,2 Tim 2,Eccl 7,Ps 121,Prov 18,2 Sam 23,Micah 7,Acts 15
32972,Mark 14,Ex 10,Eph 5,2 Tim 3,Eccl 8,Ps 122,Prov 19,2 Sam 24,Nahum 1,Acts 16
32973,Mark 15,Ex 11,Eph 6,2 Tim 4,Eccl 9,Ps 123,Prov 20,1 Kings 1,Nahum 2,Acts 17
32974,Mark 16,Ex 12,Phil 1,Titus 1,Eccl 10,Ps 124,Prov 21,1 Kings 2,Nahum 3,Acts 18
32975,Luke 1,Ex 13,Phil 2,Titus 2,Eccl 11,Ps 125,Prov 22,1 Kings 3,Habakkuk 1,Acts 19
32976,Luke 2,Ex 14,Phil 3,Titus 3,Eccl 12,Ps 126,Prov 23,1 Kings 4,Habakkuk 2,Acts 20
32977,Luke 3,Ex 15,Phil 4,Philemon 1,Songs 1,Ps 127,Prov 24,1 Kings 5,Habakkuk 3,Acts 21
32978,Luke 4,Ex 16,Col 1,James 1,Songs 2,Ps 128,Prov 25,1 Kings 6,Zephaniah 1,Acts 22
32979,Luke 5,Ex 17,Col 2,James 2,Songs 3,Ps 129,Prov 26,1 Kings 7,Zephaniah 2,Acts 23
32980,Luke 6,Ex 18,Col 3,James 3,Songs 4,Ps 130,Prov 27,1 Kings 8,Zephaniah 3,Acts 24
32981,Luke 7,Ex 19,Col 4,James 4,Songs 5,Ps 131,Prov 28,1 Kings 9,Haggai 1,Acts 25
32982,Luke 8,Ex 20,Heb 1,James 5,Songs 6,Ps 132,Prov 29,1 Kings 10,Haggai 2,Acts 26
32983,Luke 9,Ex 21,Heb 2,1 Peter 1,Songs 7,Ps 133,Prov 30,1 Kings 11,Zech 1,Acts 27
32984,Luke 10,Ex 22,Heb 3,1 Peter 2,Songs 8,Ps 134,Prov 31,1 Kings 12,Zech 2,Acts 28
32985,Luke 11,Ex 23,Heb 4,1 Peter 3,Job 1,Ps 135,Prov 1,1 Kings 13,Zech 3,Acts 1
32986,Luke 12,Ex 24,Heb 5,1 Peter 4,Job 2,Ps 136,Prov 2,1 Kings 14,Zech 4,Acts 2
32987,Luke 13,Ex 25,Heb 6,1 Peter 5,Job 3,Ps 137,Prov 3,1 Kings 15,Zech 5,Acts 3
32988,Luke 14,Ex 26,Heb 7,2 Peter 1,Job 4,Ps 138,Prov 4,1 Kings 16,Zech 6,Acts 4
32989,Luke 15,Ex 27,Heb 8,2 Peter 2,Job 5,Ps 139,Prov 5,1 Kings 17,Zech 7,Acts 5
32990,Luke 16,Ex 28,Heb 9,2 Peter 3,Job 6,Ps 140,Prov 6,1 Kings 18,Zech 8,Acts 6
32991,Luke 17,Ex 29,Heb 10,1 John 1,Job 7,Ps 141,Prov 7,1 Kings 19,Zech 9,Acts 7
32992,Luke 18,Ex 30,Heb 11,1 John 2,Job 8,Ps 142,Prov 8,1 Kings 20,Zech 10,Acts 8
32993,Luke 19,Ex 31,Heb 12,1 John 3,Job 9,Ps 143,Prov 9,1 Kings 21,Zech 11,Acts 9
32994,Luke 20,Ex 32,Heb 13,1 John 4,Job 10,Ps 144,Prov 10,1 Kings 22,Zech 12,Acts 10
32995,Luke 21,Ex 33,Rom 1,1 John 5,Job 11,Ps 145,Prov 11,2 Kings 1,Zech 13,Acts 11
32996,Luke 22,Ex 34,Rom 2,2 John 1,Job 12,Ps 146,Prov 12,2 Kings 2,Zech 14,Acts 12
32997,Luke 23,Ex 35,Rom 3,3 John 1,Job 13,Ps 147,Prov 13,2 Kings 3,Malachi 1,Acts 13
32998,Luke 24,Ex 36,Rom 4,Jude 1,Job 14,Ps 148,Prov 14,2 Kings 4,Malachi 2,Acts 14
32999,John 1,Ex 37,Rom 5,Rev 1,Job 15,Ps 149,Prov 15,2 Kings 5,Malachi 3,Acts 15
33000,John 2,Ex 38,Rom 6,Rev 2,Job 16,Ps 150,Prov 16,2 Kings 6,Malachi 4,Acts 16
33001,John 3,Ex 39,Rom 7,Rev 3,Job 17,Ps 1,Prov 17,2 Kings 7,Isaiah 1,Acts 17
33002,John 4,Ex 40,Rom 8,Rev 4,Job 18,Ps 2,Prov 18,2 Kings 8,Isaiah 2,Acts 18
33003,John 5,Lev 1,Rom 9,Rev 5,Job 19,Ps 3,Prov 19,2 Kings 9,Isaiah 3,Acts 19
33004,John 6,Lev 2,Rom 10,Rev 6,Job 20,Ps 4,Prov 20,2 Kings 10,Isaiah 4,Acts 20
33005,John 7,Lev 3,Rom 11,Rev 7,Job 21,Ps 5,Prov 21,2 Kings 11,Isaiah 5,Acts 21
33006,John 8,Lev 4,Rom 12,Rev 8,Job 22,Ps 6,Prov 22,2 Kings 12,Isaiah 6,Acts 22
33007,John 9,Lev 5,Rom 13,Rev 9,Job 23,Ps 7,Prov 23,2 Kings 13,Isaiah 7,Acts 23
33008,John 10,Lev 6,Rom 14,Rev 10,Job 24,Ps 8,Prov 24,2 Kings 14,Isaiah 8,Acts 24
33009,John 11,Lev 7,Rom 15,Rev 11,Job 25,Ps 9,Prov 25,2 Kings 15,Isaiah 9,Acts 25
33010,John 12,Lev 8,Rom 16,Rev 12,Job 26,Ps 10,Prov 26,2 Kings 16,Isaiah 10,Acts 26
33011,John 13,Lev 9,1 Cor 1,Rev 13,Job 27,Ps 11,Prov 27,2 Kings 17,Isaiah 11,Acts 27
33012,John 14,Lev 10,1 Cor 2,Rev 14,Job 28,Ps 12,Prov 28,2 Kings 18,Isaiah 12,Acts 28
33013,John 15,Lev 11,1 Cor 3,Rev 15,Job 29,Ps 13,Prov 29,2 Kings 19,Isaiah 13,Acts 1
33014,John 16,Lev 12,1 Cor 4,Rev 16,Job 30,Ps 14,Prov 30,2 Kings 20,Isaiah 14,Acts 2
33015,John 17,Lev 13,1 Cor 5,Rev 17,Job 31,Ps 15,Prov 31,2 Kings 21,Isaiah 15,Acts 3
33016,John 18,Lev 14,1 Cor 6,Rev 18,Job 32,Ps 16,Prov 1,2 Kings 22,Isaiah 16,Acts 4
33017,John 19,Lev 15,1 Cor 7,Rev 19,Job 33,Ps 17,Prov 2,2 Kings 23,Isaiah 17,Acts 5
33018,John 20,Lev 16,1 Cor 8,Rev 20,Job 34,Ps 18,Prov 3,2 Kings 24,Isaiah 18,Acts 6
33019,John 21,Lev 17,1 Cor 9,Rev 21,Job 35,Ps 19,Prov 4,2 Kings 25,Isaiah 19,Acts 7
33020,Matt 1,Lev 18,1 Cor 10,Rev 22,Job 36,Ps 20,Prov 5,1 Chron 1,Isaiah 20,Acts 8
33021,Matt 2,Lev 19,1 Cor 11,1 Thes 1,Job 37,Ps 21,Prov 6,1 Chron 2,Isaiah 21,Acts 9
33022,Matt 3,Lev 20,1 Cor 12,1 Thes 2,Job 38,Ps 22,Prov 7,1 Chron 3,Isaiah 22,Acts 10
33023,Matt 4,Lev 21,1 Cor 13,1 Thes 3,Job 39,Ps 23,Prov 8,1 Chron 4,Isaiah 23,Acts 11
33024,Matt 5,Lev 22,1 Cor 14,1 Thes 4,Job 40,Ps 24,Prov 9,1 Chron 5,Isaiah 24,Acts 12
33025,Matt 6,Lev 23,1 Cor 15,1 Thes 5,Job 41,Ps 25,Prov 10,1 Chron 6,Isaiah 25,Acts 13
33026,Matt 7,Lev 24,1 Cor 16,2 Thes 1,Job 42,Ps 26,Prov 11,1 Chron 7,Isaiah 26,Acts 14
33027,Matt 8,Lev 25,2 Cor 1,2 Thes 2,Eccl 1,Ps 27,Prov 12,1 Chron 8,Isaiah 27,Acts 15
33028,Matt 9,Lev 26,2 Cor 2,2 Thes 3,Eccl 2,Ps 28,Prov 13,1 Chron 9,Isaiah 28,Acts 16
33029,Matt 10,Lev 27,2 Cor 3,1 Tim 1,Eccl 3,Ps 29,Prov 14,1 Chron 10,Isaiah 29,Acts 17
33030,Matt 11,Num 1,2 Cor 4,1 Tim 2,Eccl 4,Ps 30,Prov 15,1 Chron 11,Isaiah 30,Acts 18
33031,Matt 12,Num 2,2 Cor 5,1 Tim 3,Eccl 5,Ps 31,Prov 16,1 Chron 12,Isaiah 31,Acts 19
33032,Matt 13,Num 3,2 Cor 6,1 Tim 4,Eccl 6,Ps 32,Prov 17,1 Chron 13,Isaiah 32,Acts 20
33033,Matt 14,Num 4,2 Cor 7,1 Tim 5,Eccl 7,Ps 33,Prov 18,1 Chron 14,Isaiah 33,Acts 21
33034,Matt 15,Num 5,2 Cor 8,1 Tim 6,Eccl 8,Ps 34,Prov 19,1 Chron 15,Isaiah 34,Acts 22
33035,Matt 16,Num 6,2 Cor 9,2 Tim 1,Eccl 9,Ps 35,Prov 20,1 Chron 16,Isaiah 35,Acts 23
33036,Matt 17,Num 7,2 Cor 10,2 Tim 2,Eccl 10,Ps 36,Prov 21,1 Chron 17,Isaiah 36,Acts 24
33037,Matt 18,Num 8,2 Cor 11,2 Tim 3,Eccl 11,Ps 37,Prov 22,1 Chron 18,Isaiah 37,Acts 25
33038,Matt 19,Num 9,2 Cor 12,2 Tim 4,Eccl 12,Ps 38,Prov 23,1 Chron 19,Isaiah 38,Acts 26
33039,Matt 20,Num 10,2 Cor 13,Titus 1,Songs 1,Ps 39,Prov 24,1 Chron 20,Isaiah 39,Acts 27
33040,Matt 21,Num 11,Gal 1,Titus 2,Songs 2,Ps 40,Prov 25,1 Chron 21,Isaiah 40,Acts 28
33041,Matt 22,Num 12,Gal 2,Titus 3,Songs 3,Ps 41,Prov 26,1 Chron 22,Isaiah 41,Acts 1
33042,Matt 23,Num 13,Gal 3,Philemon 1,Songs 4,Ps 42,Prov 27,1 Chron 23,Isaiah 42,Acts 2
33043,Matt 24,Num 14,Gal 4,James 1,Songs 5,Ps 43,Prov 28,1 Chron 24,Isaiah 43,Acts 3
33044,Matt 25,Num 15,Gal 5,James 2,Songs 6,Ps 44,Prov 29,1 Chron 25,Isaiah 44,Acts 4
33045,Matt 26,Num 16,Gal 6,James 3,Songs 7,Ps 45,Prov 30,1 Chron 26,Isaiah 45,Acts 5
33046,Matt 27,Num 17,Eph 1,James 4,Songs 8,Ps 46,Prov 31,1 Chron 27,Isaiah 46,Acts 6
33047,Matt 28,Num 18,Eph 2,James 5,Job 1,Ps 47,Prov 1,1 Chron 28,Isaiah 47,Acts 7
33048,Mark 1,Num 19,Eph 3,1 Peter 1,Job 2,Ps 48,Prov 2,1 Chron 29,Isaiah 48,Acts 8
33049,Mark 2,Num 20,Eph 4,1 Peter 2,Job 3,Ps 49,Prov 3,2 Chron 1,Isaiah 49,Acts 9
33050,Mark 3,Num 21,Eph 5,1 Peter 3,Job 4,Ps 50,Prov 4,2 Chron 2,Isaiah 50,Acts 10
33051,Mark 4,Num 22,Eph 6,1 Peter 4,Job 5,Ps 51,Prov 5,2 Chron 3,Isaiah 51,Acts 11
33052,Mark 5,Num 23,Phil 1,1 Peter 5,Job 6,Ps 52,Prov 6,2 Chron 4,Isaiah 52,Acts 12
33053,Mark 6,Num 24,Phil 2,2 Peter 1,Job 7,Ps 53,Prov 7,2 Chron 5,Isaiah 53,Acts 13
33054,Mark 7,Num 25,Phil 3,2 Peter 2,Job 8,Ps 54,Prov 8,2 Chron 6,Isaiah 54,Acts 14
33055,Mark 8,Num 26,Phil 4,2 Peter 3,Job 9,Ps 55,Prov 9,2 Chron 7,Isaiah 55,Acts 15
33056,Mark 9,Num 27,Col 1,1 John 1,Job 10,Ps 56,Prov 10,2 Chron 8,Isaiah 56,Acts 16
33057,Mark 10,Num 28,Col 2,1 John 2,Job 11,Ps 57,Prov 11,2 Chron 9,Isaiah 57,Acts 17
33058,Mark 11,Num 29,Col 3,1 John 3,Job 12,Ps 58,Prov 12,2 Chron 10,Isaiah 58,Acts 18
33059,Mark 12,Num 30,Col 4,1 John 4,Job 13,Ps 59,Prov 13,2 Chron 11,Isaiah 59,Acts 19
33060,Mark 13,Num 31,Heb 1,1 John 5,Job 14,Ps 60,Prov 14,2 Chron 12,Isaiah 60,Acts 20
33061,Mark 14,Num 32,Heb 2,2 John 1,Job 15,Ps 61,Prov 15,2 Chron 13,Isaiah 61,Acts 21
33062,Mark 15,Num 33,Heb 3,3 John 1,Job 16,Ps 62,Prov 16,2 Chron 14,Isaiah 62,Acts 22
33063,Mark 16,Num 34,Heb 4,Jude 1,Job 17,Ps 63,Prov 17,2 Chron 15,Isaiah 63,Acts 23
33064,Luke 1,Num 35,Heb 5,Rev 1,Job 18,Ps 64,Prov 18,2 Chron 16,Isaiah 64,Acts 24
33065,Luke 2,Num 36,Heb 6,Rev 2,Job 19,Ps 65,Prov 19,2 Chron 17,Isaiah 65,Acts 25
33066,Luke 3,Deut 1,Heb 7,Rev 3,Job 20,Ps 66,Prov 20,2 Chron 18,Isaiah 66,Acts 26
33067,Luke 4,Deut 2,Heb 8,Rev 4,Job 21,Ps 67,Prov 21,2 Chron 19,Jeremiah 1,Acts 27
33068,Luke 5,Deut 3,Heb 9,Rev 5,Job 22,Ps 68,Prov 22,2 Chron 20,Jeremiah 2,Acts 28
33069,Luke 6,Deut 4,Heb 10,Rev 6,Job 23,Ps 69,Prov 23,2 Chron 21,Jeremiah 3,Acts 1
33070,Luke 7,Deut 5,Heb 11,Rev 7,Job 24,Ps 70,Prov 24,2 Chron 22,Jeremiah 4,Acts 2
33071,Luke 8,Deut 6,Heb 12,Rev 8,Job 25,Ps 71,Prov 25,2 Chron 23,Jeremiah 5,Acts 3
33072,Luke 9,Deut 7,Heb 13,Rev 9,Job 26,Ps 72,Prov 26,2 Chron 24,Jeremiah 6,Acts 4
33073,Luke 10,Deut 8,Rom 1,Rev 10,Job 27,Ps 73,Prov 27,2 Chron 25,Jeremiah 7,Acts 5
33074,Luke 11,Deut 9,Rom 2,Rev 11,Job 28,Ps 74,Prov 28,2 Chron 26,Jeremiah 8,Acts 6
33075,Luke 12,Deut 10,Rom 3,Rev 12,Job 29,Ps 75,Prov 29,2 Chron 27,Jeremiah 9,Acts 7
33076,Luke 13,Deut 11,Rom 4,Rev 13,Job 30,Ps 76,Prov 30,2 Chron 28,Jeremiah 10,Acts 8
33077,Luke 14,Deut 12,Rom 5,Rev 14,Job 31,Ps 77,Prov 31,2 Chron 29,Jeremiah 11,Acts 9
33078,Luke 15,Deut 13,Rom 6,Rev 15,Job 32,Ps 78,Prov 1,2 Chron 30,Jeremiah 12,Acts 10
33079,Luke 16,Deut 14,Rom 7,Rev 16,Job 33,Ps 79,Prov 2,2 Chron 31,Jeremiah 13,Acts 11
33080,Luke 17,Deut 15,Rom 8,Rev 17,Job 34,Ps 80,Prov 3,2 Chron 32,Jeremiah 14,Acts 12
33081,Luke 18,Deut 16,Rom 9,Rev 18,Job 35,Ps 81,Prov 4,2 Chron 33,Jeremiah 15,Acts 13
33082,Luke 19,Deut 17,Rom 10,Rev 19,Job 36,Ps 82,Prov 5,2 Chron 34,Jeremiah 16,Acts 14
33083,Luke 20,Deut 18,Rom 11,Rev 20,Job 37,Ps 83,Prov 6,2 Chron 35,Jeremiah 17,Acts 15
33084,Luke 21,Deut 19,Rom 12,Rev 21,Job 38,Ps 84,Prov 7,2 Chron 36,Jeremiah 18,Acts 16
33085,Luke 22,Deut 20,Rom 13,Rev 22,Job 39,Ps 85,Prov 8,Ezra 1,Jeremiah 19,Acts 17
33086,Luke 23,Deut 21,Rom 14,1 Thes 1,Job 40,Ps 86,Prov 9,Ezra 2,Jeremiah 20,Acts 18
33087,Luke 24,Deut 22,Rom 15,1 Thes 2,Job 41,Ps 87,Prov 10,Ezra 3,Jeremiah 21,Acts 19
33088,John 1,Deut 23,Rom 16,1 Thes 3,Job 42,Ps 88,Prov 11,Ezra 4,Jeremiah 22,Acts 20
33089,John 2,Deut 24,1 Cor 1,1 Thes 4,Eccl 1,Ps 89,Prov 12,Ezra 5,Jeremiah 23,Acts 21
33090,John 3,Deut 25,1 Cor 2,1 Thes 5,Eccl 2,Ps 90,Prov 13,Ezra 6,Jeremiah 24,Acts 22
33091,John 4,Deut 26,1 Cor 3,2 Thes 1,Eccl 3,Ps 91,Prov 14,Ezra 7,Jeremiah 25,Acts 23
33092,John 5,Deut 27,1 Cor 4,2 Thes 2,Eccl 4,Ps 92,Prov 15,Ezra 8,Jeremiah 26,Acts 24
33093,John 6,Deut 28,1 Cor 5,2 Thes 3,Eccl 5,Ps 93,Prov 16,Ezra 9,Jeremiah 27,Acts 25
33094,John 7,Deut 29,1 Cor 6,1 Tim 1,Eccl 6,Ps 94,Prov 17,Ezra 10,Jeremiah 28,Acts 26
33095,John 8,Deut 30,1 Cor 7,1 Tim 2,Eccl 7,Ps 95,Prov 18,Nehemiah 1,Jeremiah 29,Acts 27
33096,John 9,Deut 31,1 Cor 8,1 Tim 3,Eccl 8,Ps 96,Prov 19,Nehemiah 2,Jeremiah 30,Acts 28
33097,John 10,Deut 32,1 Cor 9,1 Tim 4,Eccl 9,Ps 97,Prov 20,Nehemiah 3,Jeremiah 31,Acts 1
33098,John 11,Deut 33,1 Cor 10,1 Tim 5,Eccl 10,Ps 98,Prov 21,Nehemiah 4,Jeremiah 32,Acts 2
33099,John 12,Deut 34,1 Cor 11,1 Tim 6,Eccl 11,Ps 99,Prov 22,Nehemiah 5,Jeremiah 33,Acts 3
33100,John 13,Gen 1,1 Cor 12,2 Tim 1,Eccl 12,Ps 100,Prov 23,Nehemiah 6,Jeremiah 34,Acts 4
33101,John 14,Gen 2,1 Cor 13,2 Tim 2,Songs 1,Ps 101,Prov 24,Nehemiah 7,Jeremiah 35,Acts 5
33102,John 15,Gen 3,1 Cor 14,2 Tim 3,Songs 2,Ps 102,Prov 25,Nehemiah 8,Jeremiah 36,Acts 6
33103,John 16,Gen 4,1 Cor 15,2 Tim 4,Songs 3,Ps 103,Prov 26,Nehemiah 9,Jeremiah 37,Acts 7
33104,John 17,Gen 5,1 Cor 16,Titus 1,Songs 4,Ps 104,Prov 27,Nehemiah 10,Jeremiah 38,Acts 8
33105,John 18,Gen 6,2 Cor 1,Titus 2,Songs 5,Ps 105,Prov 28,Nehemiah 11,Jeremiah 39,Acts 9
33106,John 19,Gen 7,2 Cor 2,Titus 3,Songs 6,Ps 106,Prov 29,Nehemiah 12,Jeremiah 40,Acts 10
33107,John 20,Gen 8,2 Cor 3,Philemon 1,Songs 7,Ps 107,Prov 30,Nehemiah 13,Jeremiah 41,Acts 11
33108,John 21,Gen 9,2 Cor 4,James 1,Songs 8,Ps 108,Prov 31,Esther 1,Jeremiah 42,Acts 12
33109,Matt 1,Gen 10,2 Cor 5,James 2,Job 1,Ps 109,Prov 1,Esther 2,Jeremiah 43,Acts 13
33110,Matt 2,Gen 11,2 Cor 6,James 3,Job 2,Ps 110,Prov 2,Esther 3,Jeremiah 44,Acts 14
33111,Matt 3,Gen 12,2 Cor 7,James 4,Job 3,Ps 111,Prov 3,Esther 4,Jeremiah 45,Acts 15
33112,Matt 4,Gen 13,2 Cor 8,James 5,Job 4,Ps 112,Prov 4,Esther 5,Jeremiah 46,Acts 16
33113,Matt 5,Gen 14,2 Cor 9,1 Peter 1,Job 5,Ps 113,Prov 5,Esther 6,Jeremiah 47,Acts 17
33114,Matt 6,Gen 15,2 Cor 10,1 Peter 2,Job 6,Ps 114,Prov 6,Esther 7,Jeremiah 48,Acts 18
33115,Matt 7,Gen 16,2 Cor 11,1 Peter 3,Job 7,Ps 115,Prov 7,Esther 8,Jeremiah 49,Acts 19
33116,Matt 8,Gen 17,2 Cor 12,1 Peter 4,Job 8,Ps 116,Prov 8,Esther 9,Jeremiah 50,Acts 20
33117,Matt 9,Gen 18,2 Cor 13,1 Peter 5,Job 9,Ps 117,Prov 9,Esther 10,Jeremiah 51,Acts 21
33118,Matt 10,Gen 19,Gal 1,2 Peter 1,Job 10,Ps 118,Prov 10,Joshua 1,Jeremiah 52,Acts 22
33119,Matt 11,Gen 20,Gal 2,2 Peter 2,Job 11,Ps 119,Prov 11,Joshua 2,Lam 1,Acts 23
33120,Matt 12,Gen 21,Gal 3,2 Peter 3,Job 12,Ps 120,Prov 12,Joshua 3,Lam 2,Acts 24
33121,Matt 13,Gen 22,Gal 4,1 John 1,Job 13,Ps 121,Prov 13,Joshua 4,Lam 3,Acts 25
33122,Matt 14,Gen 23,Gal 5,1 John 2,Job 14,Ps 122,Prov 14,Joshua 5,Lam 4,Acts 26
33123,Matt 15,Gen 24,Gal 6,1 John 3,Job 15,Ps 123,Prov 15,Joshua 6,Lam 5,Acts 27
33124,Matt 16,Gen 25,Eph 1,1 John 4,Job 16,Ps 124,Prov 16,Joshua 7,Ezekiel 1,Acts 28
33125,Matt 17,Gen 26,Eph 2,1 John 5,Job 17,Ps 125,Prov 17,Joshua 8,Ezekiel 2,Acts 1
33126,Matt 18,Gen 27,Eph 3,2 John 1,Job 18,Ps 126,Prov 18,Joshua 9,Ezekiel 3,Acts 2
33127,Matt 19,Gen 28,Eph 4,3 John 1,Job 19,Ps 127,Prov 19,Joshua 10,Ezekiel 4,Acts 3
33128,Matt 20,Gen 29,Eph 5,Jude 1,Job 20,Ps 128,Prov 20,Joshua 11,Ezekiel 5,Acts 4
33129,Matt 21,Gen 30,Eph 6,Rev 1,Job 21,Ps 129,Prov 21,Joshua 12,Ezekiel 6,Acts 5
33130,Matt 22,Gen 31,Phil 1,Rev 2,Job 22,Ps 130,Prov 22,Joshua 13,Ezekiel 7,Acts 6
33131,Matt 23,Gen 32,Phil 2,Rev 3,Job 23,Ps 131,Prov 23,Joshua 14,Ezekiel 8,Acts 7
33132,Matt 24,Gen 33,Phil 3,Rev 4,Job 24,Ps 132,Prov 24,Joshua 15,Ezekiel 9,Acts 8
33133,Matt 25,Gen 34,Phil 4,Rev 5,Job 25,Ps 133,Prov 25,Joshua 16,Ezekiel 10,Acts 9
33134,Matt 26,Gen 35,Col 1,Rev 6,Job 26,Ps 134,Prov 26,Joshua 17,Ezekiel 11,Acts 10
33135,Matt 27,Gen 36,Col 2,Rev 7,Job 27,Ps 135,Prov 27,Joshua 18,Ezekiel 12,Acts 11
33136,Matt 28,Gen 37,Col 3,Rev 8,Job 28,Ps 136,Prov 28,Joshua 19,Ezekiel 13,Acts 12
33137,Mark 1,Gen 38,Col 4,Rev 9,Job 29,Ps 137,Prov 29,Joshua 20,Ezekiel 14,Acts 13
33138,Mark 2,Gen 39,Heb 1,Rev 10,Job 30,Ps 138,Prov 30,Joshua 21,Ezekiel 15,Acts 14
33139,Mark 3,Gen 40,Heb 2,Rev 11,Job 31,Ps 139,Prov 31,Joshua 22,Ezekiel 16,Acts 15
33140,Mark 4,Gen 41,Heb 3,Rev 12,Job 32,Ps 140,Prov 1,Joshua 23,Ezekiel 17,Acts 16
33141,Mark 5,Gen 42,Heb 4,Rev 13,Job 33,Ps 141,Prov 2,Joshua 24,Ezekiel 18,Acts 17
33142,Mark 6,Gen 43,Heb 5,Rev 14,Job 34,Ps 142,Prov 3,Judges 1,Ezekiel 19,Acts 18
33143,Mark 7,Gen 44,Heb 6,Rev 15,Job 35,Ps 143,Prov 4,Judges 2,Ezekiel 20,Acts 19
33144,Mark 8,Gen 45,Heb 7,Rev 16,Job 36,Ps 144,Prov 5,Judges 3,Ezekiel 21,Acts 20
33145,Mark 9,Gen 46,Heb 8,Rev 17,Job 37,Ps 145,Prov 6,Judges 4,Ezekiel 22,Acts 21
33146,Mark 10,Gen 47,Heb 9,Rev 18,Job 38,Ps 146,Prov 7,Judges 5,Ezekiel 23,Acts 22
33147,Mark 11,Gen 48,Heb 10,Rev 19,Job 39,Ps 147,Prov 8,Judges 6,Ezekiel 24,Acts 23
33148,Mark 12,Gen 49,Heb 11,Rev 20,Job 40,Ps 148,Prov 9,Judges 7,Ezekiel 25,Acts 24
